controller,peak_jerk,endpoint_err,osc_amp
quintic_polynomial,304.6288838959299,0.007485422305762768,0.005649527612589003
quintic_polynomial,243.9247073198203,0.012966603972017765,0.007356755903171074
quintic_polynomial,243.93099010922015,0.010614471510052681,0.01195523990190314
quintic_polynomial,243.89009922742844,0.017669444903731346,0.00935898935654816
quintic_polynomial,304.6522615477443,0.03614988923072815,0.004053300027484628
quintic_polynomial,243.97933157160878,0.009069492109119892,0.009821854218856532
quintic_polynomial,304.8552571272012,0.008549807593226433,0.003820129845391079
quintic_polynomial,304.8036014661193,0.01800764538347721,0.0024531872789285624
quintic_polynomial,243.95991204073653,0.0318724550306797,0.007656686214768033
quintic_polynomial,304.99568674713373,0.02122271992266178,0.004447098319223549
quintic_polynomial,244.05127624049783,0.02730727195739746,0.005420407580942812
quintic_polynomial,304.9141960218549,0.010964788496494293,0.008030717522191458
quintic_polynomial,244.00798429269344,0.021805107593536377,0.003102298137684536
quintic_polynomial,304.77973632514477,0.033490195870399475,0.0042905140511672255
quintic_polynomial,244.78882551193237,0.022023305296897888,0.0034041023713008963
quintic_polynomial,243.89007012359798,0.005618544761091471,0.010589099841594804
quintic_polynomial,304.68994737020694,0.0049778856337070465,0.004641670434056585
quintic_polynomial,304.9472870770842,0.02235250361263752,0.0032370781437390432
quintic_polynomial,244.01168775511906,0.019132856279611588,0.0038912066627635536
quintic_polynomial,243.87603207287611,0.007859106175601482,0.0029736079045093937
quintic_polynomial,304.72123762592673,0.027354318648576736,0.002311951471616383
quintic_polynomial,304.8517392016947,0.015999535098671913,0.005395160981692273
quintic_polynomial,304.7097416128963,0.024510743096470833,0.0026485151943166905
quintic_polynomial,243.8430965412408,0.004126892425119877,0.008415215283557462
quintic_polynomial,243.9683157717809,0.016569167375564575,0.008083250211212988
quintic_polynomial,304.76850224658847,0.03114965930581093,0.003851254902320896
quintic_polynomial,304.7006030101329,0.009650562889873981,0.0033581798664697534
quintic_polynomial,304.7057398362085,0.0005539200501516461,0.005858261453681303
quintic_polynomial,304.8239159397781,0.021441249176859856,0.006057207729705408
quintic_polynomial,304.9375955015421,0.021185897290706635,0.008557158510522423
quintic_polynomial,304.707617033273,0.02306608110666275,0.0022853553576911976
quintic_polynomial,305.0028462894261,0.026033028960227966,0.004775347630420291
quintic_polynomial,304.9969091080129,0.019364619627594948,0.003914112329333194
quintic_polynomial,304.7190675715683,0.012162785977125168,0.004845044208288921
quintic_polynomial,305.02601293846965,0.03451050817966461,0.0056657699892915135
quintic_polynomial,243.81789262406528,0.00027574895648285747,0.005334401722150647
quintic_polynomial,243.88224119320512,0.0010506132384762168,0.011439387959070867
quintic_polynomial,243.8817173242569,0.006324460729956627,0.009689036097357795
quintic_polynomial,243.99331596214324,0.012011301703751087,0.005240159590601081
quintic_polynomial,244.00050097028725,0.01495753601193428,0.004655656483978585
quintic_polynomial,304.71174977719784,0.023090610280632973,0.00216297656832443
quintic_polynomial,243.90907492488623,0.008414831012487411,0.01423075991392235
quintic_polynomial,244.03390125371516,0.023116840049624443,0.002348468424205731
quintic_polynomial,304.6784404432401,0.005379867739975452,0.006016643858805878
quintic_polynomial,303.79396048374474,0.007984218187630177,0.011184711197817322
quintic_polynomial,304.7666759812273,0.012891608290374279,0.002465669891488897
quintic_polynomial,304.8200742341578,0.002258999738842249,0.00982510073002412
quintic_polynomial,243.99309768341482,0.02068222686648369,0.014333754891356054
quintic_polynomial,304.90957578876987,0.00728532113134861,0.004366412013237064
quintic_polynomial,244.05778822256252,0.018536441028118134,0.002991949037934049
quintic_polynomial,303.6465204786509,0.02010403759777546,0.004576572348895129
quintic_polynomial,304.780260194093,0.00018075318075716496,0.012639396206944481
quintic_polynomial,243.99567337241024,0.012111143209040165,0.0075040557019364195
quintic_polynomial,304.9734514206648,0.022402537986636162,0.00834393372639864
quintic_polynomial,304.65383315458894,0.025800710543990135,0.0025367342452215294
quintic_polynomial,243.87799203395844,0.010628939606249332,0.009896490102575019
quintic_polynomial,243.82496485486627,0.018570393323898315,0.002730383895535984
quintic_polynomial,244.0331008983776,0.021730637177824974,0.0023957444179786413
quintic_polynomial,244.0052485326305,0.014187842607498169,0.002590053449329955
quintic_polynomial,243.8646915834397,0.002661372534930706,0.0060049843842928195
quintic_polynomial,304.7134086955339,0.024091357365250587,0.002578636838898573
quintic_polynomial,304.82728470815346,0.008544635958969593,0.004853022179251422
quintic_polynomial,304.7958598472178,0.016881687566637993,0.0022195680207551067
quintic_polynomial,243.8975207041949,0.0007246524910442531,0.004748470207463248
quintic_polynomial,243.84382413700223,0.013335131108760834,0.010235238045791998
quintic_polynomial,305.00435968860984,0.032156623899936676,0.005729984427645851
quintic_polynomial,243.87543089687824,0.017813511192798615,0.00856342214130441
quintic_polynomial,243.99737594649196,0.0021358353551477194,0.004284552586269674
quintic_polynomial,304.83210866805166,0.01340554840862751,0.003189168367079867
quintic_polynomial,304.7100908588618,0.016685891896486282,0.0028665919662196554
quintic_polynomial,243.97904780926183,0.024149740114808083,0.005479543457178162
quintic_polynomial,304.78162807412446,0.0059471470303833485,0.009546784110706702
quintic_polynomial,304.7581121791154,0.00849063042551279,0.007633879232765784
quintic_polynomial,304.8450053029228,0.008871651254594326,0.002445973841042268
quintic_polynomial,244.78169507347047,0.025546986609697342,0.004566462373175087
quintic_polynomial,243.91149054281414,0.004421206656843424,0.01281988028565913
quintic_polynomial,304.82024885714054,0.029632294550538063,0.0033960148030813117
quintic_polynomial,243.89347527176142,0.006482569966465235,0.011468487027551523
quintic_polynomial,304.89724940707674,0.0057755522429943085,0.0030468580720595484
quintic_polynomial,243.9629752188921,0.031891051679849625,0.004051872207241495
quintic_polynomial,304.6707279281691,0.001818411285057664,0.00673285867000609
quintic_polynomial,243.85744472965598,0.005755580961704254,0.0060240553208745105
quintic_polynomial,303.71394677786157,0.009649907238781452,0.01729877065522502
quintic_polynomial,243.95844957325608,0.005247220396995544,0.009822863561629114
quintic_polynomial,304.7696955036372,0.02617381513118744,0.0024003522749489452
quintic_polynomial,244.803202804178,0.016696417704224586,0.009850193676788493
quintic_polynomial,243.96371736656874,0.02597765438258648,0.0069601236356559935
quintic_polynomial,243.8892115605995,0.005716767627745867,0.00508462686012782
quintic_polynomial,304.8192011192441,0.0023083295673131943,0.008503015570165117
quintic_polynomial,304.84476883430034,0.006583208218216896,0.0027033652567299347
quintic_polynomial,304.92711084662005,0.003789067966863513,0.0034069357575266367
quintic_polynomial,304.7722129849717,8.733163849683478e-05,0.005924165073534521
quintic_polynomial,304.8421895073261,0.003644326003268361,0.0040320518677572645
quintic_polynomial,243.99645917583257,0.011159533634781837,0.012737084197251364
quintic_polynomial,304.8480721190572,0.0006607131217606366,0.0066276262784241485
quintic_polynomial,243.89340251218528,0.009420907124876976,0.006778766822430553
quintic_polynomial,244.7909937473014,0.010099552571773529,0.005691937618473262
quintic_polynomial,304.97311672661453,0.018354982137680054,0.002374740507399194
quintic_polynomial,243.84335847571492,0.028733795508742332,0.007477486366718376
quintic_polynomial,244.05898147961125,0.009655171073973179,0.0033359595116437936
