controller,peak_jerk_mean,peak_jerk_std,endpoint_err_mean,endpoint_err_std,spike_count_mean,spike_count_std,flops_mean,flops_std,osc_amp_mean,osc_amp_std
quintic_polynomial,276.20330913123325,30.469755870881066,0.014479738786540061,0.009519664868794025,875.6,255.53398240080747,20.0,0.0,0.00605170082982764,0.003322714211389407
snn_stdp,122.52308573806658,0.08517634922926247,0.1498790171742439,0.03514932939041075,1817.79,292.75246533478753,129600.0,0.0,0.05115024611902347,0.007145831619426943
snn_surrogate_only,354.7317699292307,42.81341390986123,1.2709405510127545,0.6604557043677698,171073.91,65963.25005240923,129600.0,0.0,0.10876833481563514,0.07659319623227318
